,index,Path3,Path8,Path14,Path65,Path66
179,179,1773.153935748992,0.0,0.0,0.0,0.0
180,180,0.0,409.8714294860569,253.28120205415192,0.0,0.0
181,181,642.4265870488416,602.5103993490533,0.0,0.0,0.0
182,182,741.8260182582283,225.971254959947,0.0,0.0,0.0
183,183,0.0,302.7938898542405,0.0,0.0,0.0
184,184,0.0,347.8371507605502,0.0,0.0,0.0
185,185,0.0,781.2482195704101,0.0,0.0,0.0
186,186,750.5368182201569,314.93480193389576,0.0,0.0,0.0
187,187,115.22505249050393,907.6727422318312,0.0,0.0,0.0
188,188,701.1013571898093,601.6052594525697,0.0,0.0,0.0
189,189,888.710904226704,929.2905472077499,0.0,0.0,0.0
190,190,1824.4955505272656,231.5873765266273,0.0,0.0,0.0
191,191,541.5524702432397,253.64794645746787,0.0,0.0,0.0
192,192,557.8907821712967,694.8225462745842,0.0,0.0,0.0
193,193,0.0,952.1506128775612,0.0,0.0,0.0
194,194,1071.1971124375625,986.3896594024885,0.0,0.0,0.0
195,195,0.0,1194.4630811148304,0.0,0.0,0.0
196,196,829.5890728006743,1351.5032123102494,0.0,0.0,0.0
197,197,623.043945950179,846.1495947170841,64.79090378803329,0.0,0.0
198,198,824.7344009533825,1317.8723626834599,262.05266121173094,0.0,0.0
199,199,752.7206605082979,1238.7165494350095,78.83490445174589,0.0,0.0
200,200,1913.6958021265275,888.6008052142046,0.0,0.0,0.0
201,201,790.8707617395247,1003.0568883651507,0.0,0.0,0.0
202,202,610.8545347717867,1330.9126405879188,0.0,0.0,0.0
203,203,168.12600815553526,1651.3387438752804,218.9773140517528,0.0,0.0
204,204,1171.7875380452049,1199.5894139518668,0.0,0.0,0.0
205,205,502.05758492996836,1588.5330479584977,246.4206029144231,0.0,0.0
206,206,1024.3697947453873,1439.1434737907932,124.83771173588644,0.0,0.0
207,207,702.1932490302162,1562.8678376036526,0.0,0.0,0.0
208,208,381.3229372204369,1450.39602939588,0.0,0.0,0.0
209,209,64.44307385879661,1461.358703924037,0.0,0.0,0.0
210,210,1255.6957872540554,1176.3903713526433,0.0,0.0,0.0
211,211,0.0,1626.2511398788754,0.0,0.0,0.0
212,212,77.41236935251487,771.4939026977727,0.0,0.0,0.0
213,213,899.2200903808777,954.7713468642494,0.0,0.0,0.0
214,214,0.0,949.3032654741228,0.0,0.0,0.0
215,215,851.7847104235913,961.8366180025096,150.12978869865594,0.0,0.0
216,216,1625.3948665761634,1767.1159774010227,597.9492035510683,0.0,0.0
217,217,1210.5383334466858,1773.9128483719346,379.5249990792456,0.0,0.0
218,218,0.0,1148.2628754432735,191.31416221601813,0.0,0.0
219,219,358.63130524255666,1202.6770156261198,609.9672992189874,0.0,0.0
220,220,0.0,1718.5584341143558,400.5569176553148,0.0,0.0
221,221,1260.9552208409634,1092.6559795460096,0.0,0.0,0.0
222,222,1885.3691907211605,1215.6769625399436,522.8319712008442,0.0,0.0
223,223,507.39019606261115,670.6106296526065,41.306787145592644,0.0,0.0
224,224,134.7528319438316,762.1190305692598,0.0,0.0,0.0
