,Source,Sink,Time,Value
215,SCE,PGE_valley,24,0.0
216,SCE,SDGE,1,0.0
217,SCE,SDGE,2,0.0
218,SCE,SDGE,3,0.0
219,SCE,SDGE,4,0.0
220,SCE,SDGE,5,0.0
221,SCE,SDGE,6,0.0
222,SCE,SDGE,7,0.0
223,SCE,SDGE,8,0.0
224,SCE,SDGE,9,68.48684571778254
225,SCE,SDGE,10,0.0
226,SCE,SDGE,11,0.0
227,SCE,SDGE,12,0.0
228,SCE,SDGE,13,0.0
229,SCE,SDGE,14,0.0
230,SCE,SDGE,15,0.0
231,SCE,SDGE,16,0.0
232,SCE,SDGE,17,0.0
233,SCE,SDGE,18,63.558112423039915
234,SCE,SDGE,19,0.0
235,SCE,SDGE,20,0.0
236,SCE,SDGE,21,311.90841200572373
237,SCE,SDGE,22,352.6533398026191
238,SCE,SDGE,23,181.70665772846723
239,SCE,SDGE,24,0.0
240,SCE,SCE,1,0.0
241,SCE,SCE,2,0.0
242,SCE,SCE,3,0.0
243,SCE,SCE,4,0.0
244,SCE,SCE,5,0.0
245,SCE,SCE,6,0.0
246,SCE,SCE,7,0.0
247,SCE,SCE,8,0.0
248,SCE,SCE,9,0.0
249,SCE,SCE,10,0.0
250,SCE,SCE,11,0.0
251,SCE,SCE,12,0.0
252,SCE,SCE,13,0.0
253,SCE,SCE,14,0.0
254,SCE,SCE,15,0.0
255,SCE,SCE,16,0.0
256,SCE,SCE,17,0.0
257,SCE,SCE,18,0.0
258,SCE,SCE,19,0.0
259,SCE,SCE,20,0.0
260,SCE,SCE,21,0.0
261,SCE,SCE,22,0.0
262,SCE,SCE,23,0.0
263,SCE,SCE,24,0.0
264,SCE,PGE_bay,1,0.0
265,SCE,PGE_bay,2,0.0
266,SCE,PGE_bay,3,0.0
267,SCE,PGE_bay,4,0.0
268,SCE,PGE_bay,5,0.0
269,SCE,PGE_bay,6,0.0
270,SCE,PGE_bay,7,0.0
271,SCE,PGE_bay,8,0.0
272,SCE,PGE_bay,9,0.0
273,SCE,PGE_bay,10,0.0
274,SCE,PGE_bay,11,0.0
275,SCE,PGE_bay,12,0.0
276,SCE,PGE_bay,13,0.0
277,SCE,PGE_bay,14,0.0
278,SCE,PGE_bay,15,0.0
279,SCE,PGE_bay,16,0.0
280,SCE,PGE_bay,17,0.0
281,SCE,PGE_bay,18,0.0
282,SCE,PGE_bay,19,0.0
283,SCE,PGE_bay,20,0.0
284,SCE,PGE_bay,21,0.0
285,SCE,PGE_bay,22,0.0
286,SCE,PGE_bay,23,0.0
287,SCE,PGE_bay,24,0.0
288,PGE_bay,PGE_valley,1,0.0
289,PGE_bay,PGE_valley,2,0.0
290,PGE_bay,PGE_valley,3,0.0
291,PGE_bay,PGE_valley,4,0.0
292,PGE_bay,PGE_valley,5,0.0
293,PGE_bay,PGE_valley,6,0.0
294,PGE_bay,PGE_valley,7,0.0
295,PGE_bay,PGE_valley,8,0.0
296,PGE_bay,PGE_valley,9,0.0
297,PGE_bay,PGE_valley,10,0.0
298,PGE_bay,PGE_valley,11,0.0
299,PGE_bay,PGE_valley,12,0.0
300,PGE_bay,PGE_valley,13,0.0
301,PGE_bay,PGE_valley,14,0.0
302,PGE_bay,PGE_valley,15,0.0
303,PGE_bay,PGE_valley,16,0.0
304,PGE_bay,PGE_valley,17,0.0
305,PGE_bay,PGE_valley,18,0.0
306,PGE_bay,PGE_valley,19,0.0
307,PGE_bay,PGE_valley,20,0.0
308,PGE_bay,PGE_valley,21,0.0
309,PGE_bay,PGE_valley,22,0.0
310,PGE_bay,PGE_valley,23,0.0
311,PGE_bay,PGE_valley,24,0.0
312,PGE_bay,SDGE,1,0.0
313,PGE_bay,SDGE,2,0.0
314,PGE_bay,SDGE,3,0.0
315,PGE_bay,SDGE,4,0.0
316,PGE_bay,SDGE,5,0.0
317,PGE_bay,SDGE,6,0.0
318,PGE_bay,SDGE,7,0.0
319,PGE_bay,SDGE,8,0.0
320,PGE_bay,SDGE,9,0.0
321,PGE_bay,SDGE,10,0.0
322,PGE_bay,SDGE,11,0.0
323,PGE_bay,SDGE,12,0.0
324,PGE_bay,SDGE,13,0.0
325,PGE_bay,SDGE,14,0.0
326,PGE_bay,SDGE,15,0.0
327,PGE_bay,SDGE,16,0.0
328,PGE_bay,SDGE,17,0.0
329,PGE_bay,SDGE,18,0.0
330,PGE_bay,SDGE,19,0.0
331,PGE_bay,SDGE,20,0.0
332,PGE_bay,SDGE,21,0.0
333,PGE_bay,SDGE,22,0.0
334,PGE_bay,SDGE,23,0.0
335,PGE_bay,SDGE,24,0.0
336,PGE_bay,SCE,1,0.0
337,PGE_bay,SCE,2,0.0
338,PGE_bay,SCE,3,0.0
339,PGE_bay,SCE,4,0.0
340,PGE_bay,SCE,5,0.0
341,PGE_bay,SCE,6,0.0
342,PGE_bay,SCE,7,0.0
343,PGE_bay,SCE,8,0.0
344,PGE_bay,SCE,9,0.0
345,PGE_bay,SCE,10,0.0
346,PGE_bay,SCE,11,0.0
347,PGE_bay,SCE,12,0.0
348,PGE_bay,SCE,13,0.0
349,PGE_bay,SCE,14,0.0
350,PGE_bay,SCE,15,0.0
351,PGE_bay,SCE,16,0.0
352,PGE_bay,SCE,17,0.0
353,PGE_bay,SCE,18,0.0
354,PGE_bay,SCE,19,0.0
355,PGE_bay,SCE,20,0.0
356,PGE_bay,SCE,21,0.0
357,PGE_bay,SCE,22,0.0
358,PGE_bay,SCE,23,0.0
359,PGE_bay,SCE,24,0.0
360,PGE_bay,PGE_bay,1,0.0
361,PGE_bay,PGE_bay,2,0.0
362,PGE_bay,PGE_bay,3,0.0
363,PGE_bay,PGE_bay,4,0.0
364,PGE_bay,PGE_bay,5,0.0
365,PGE_bay,PGE_bay,6,0.0
366,PGE_bay,PGE_bay,7,0.0
367,PGE_bay,PGE_bay,8,0.0
368,PGE_bay,PGE_bay,9,0.0
