,PGE_valley,SCE
194,55036.439677711285,18368.272812230924
195,59547.703343760586,14692.7246048733
196,48173.139224394065,19405.239219962346
197,57942.84248751862,17459.842913300738
198,55123.68123782829,19654.816498115142
199,49294.368720746046,21226.10421084633
200,53904.96650922908,24024.617912326637
201,44585.730172587784,22560.99646729616
202,49092.63680623356,19431.95447756384
203,48573.07825951261,22336.16158074434
204,50694.68821069108,20024.695503760006
205,49550.71314305192,21201.95233874991
206,54300.751637174006,16088.967616396483
207,52009.72681074506,13063.166506749803
208,52353.04642866815,20050.37348180609
209,40866.58593214734,24568.410411118137
210,44727.40243611001,21622.425934693412
211,40562.161891154996,17508.363799079616
212,42126.529897654764,14503.04862322442
213,44749.95002080722,14497.434607530073
214,46389.75861718011,16667.64926898376
215,45394.12027521239,15775.284518337103
216,43098.56697213728,18252.550055828466
217,45295.422476812346,12338.517647616383
218,45026.81127161834,11402.86688599036
219,48347.83807130617,14858.928595132009
220,37941.80019877459,13716.42506289014
221,48885.24522706751,10408.302525060768
222,41388.87776312728,11243.448177512322
223,44397.799195658714,15473.260247012682
224,44820.89023168763,13848.756844047171
225,44332.57506600945,13879.2025562909
226,39360.13150755942,6534.169488587726
227,35395.29272791921,14395.464426757548
228,46928.00704311255,6216.603927960416
229,46849.14168459256,9794.952969693692
230,50427.77136201698,12587.86440299371
231,34398.84478025434,11312.19567010703
232,42195.82025063025,6286.965827229849
233,33055.88895428659,8493.682781310632
234,48678.325260749,9089.485111668328
235,49282.16299565853,6382.05694326285
236,36851.09539296941,8236.662932824927
237,38199.2955781269,9239.93860925949
238,49122.041262608924,10542.737720768571
239,43539.27809070381,2178.405491186374
240,47140.172554641285,6781.167994046098
241,43855.36960561921,4828.197321148164
242,42948.54385431674,5398.534152630907
243,46251.70840007388,5485.814294038813
244,43626.19086936264,10755.0835552514
245,48104.01082199569,4456.808755491851
246,44346.3959678079,6868.2214984462835
247,42307.00150935885,947.652636102584
248,40638.21509705212,2938.8232260427767
249,45250.37140691442,4014.752505836206
250,33979.91377948043,8213.90638286993
251,36397.52789922456,0.0
252,36453.3102175145,8935.17626186136
253,35173.80761234363,1791.0722163931641
254,46467.05795112142,3406.5992281411427
255,44687.98257138951,2741.5619656590056
256,37308.913930223614,2777.768730149758
257,27391.610072888354,1107.4372979389664
258,37878.27201098734,4598.96928061978
259,36353.15901553769,1293.4713397479077
260,36792.43915817379,3881.1416501044023
261,36025.64884131921,0.0
262,40079.20084012837,7567.116887274786
263,36941.815014250635,2227.474437148995
264,40576.65448323539,903.8320075524744
265,42125.60893716435,265.3930349623902
266,38691.18757825412,0.0
267,46939.96986682931,0.0
268,38021.437060668235,2065.6151679304085
269,37120.35066639735,1412.9417799471366
270,41280.41576838124,0.0
271,34901.44609568562,1808.9606082363443
272,38039.16825107169,0.0
273,31150.03979345778,0.0
