,Constraint,Time,Value
549,Bal3Constraint,142,41.029
550,Bal3Constraint,143,38.5176
551,Bal3Constraint,144,37.2761
552,Bal4Constraint,121,45.0014
553,Bal4Constraint,122,47.2361
554,Bal4Constraint,123,45.0014
555,Bal4Constraint,124,39.511100000000006
556,Bal4Constraint,125,39.458600000000004
557,Bal4Constraint,126,39.511100000000006
558,Bal4Constraint,127,45.0014
559,Bal4Constraint,128,38.93
560,Bal4Constraint,129,0.01
561,Bal4Constraint,130,0.01
562,Bal4Constraint,131,0.01
563,Bal4Constraint,132,0.01
564,Bal4Constraint,133,0.01
565,Bal4Constraint,134,0.01
566,Bal4Constraint,135,0.01
567,Bal4Constraint,136,9.97
568,Bal4Constraint,137,58.40716666666666
569,Bal4Constraint,138,58.40716666666666
570,Bal4Constraint,139,58.40716666666666
571,Bal4Constraint,140,50.989000000000004
572,Bal4Constraint,141,50.989000000000004
573,Bal4Constraint,142,50.989000000000004
574,Bal4Constraint,143,48.4776
575,Bal4Constraint,144,47.2361
576,Bal1Constraint,145,37.6024
577,Bal1Constraint,146,37.6024
578,Bal1Constraint,147,37.6024
579,Bal1Constraint,148,37.6024
580,Bal1Constraint,149,37.6024
581,Bal1Constraint,150,37.6024
582,Bal1Constraint,151,37.6024
583,Bal1Constraint,152,37.6024
584,Bal1Constraint,153,36.7972
585,Bal1Constraint,154,9.97
586,Bal1Constraint,155,0.01
587,Bal1Constraint,156,0.01
588,Bal1Constraint,157,0.01
589,Bal1Constraint,158,9.97
590,Bal1Constraint,159,9.97
591,Bal1Constraint,160,37.6024
592,Bal1Constraint,161,37.6024
593,Bal1Constraint,162,37.6024
594,Bal1Constraint,163,37.6024
595,Bal1Constraint,164,37.6024
596,Bal1Constraint,165,37.6024
597,Bal1Constraint,166,37.6024
598,Bal1Constraint,167,37.6024
599,Bal1Constraint,168,37.6024
600,Bal2Constraint,145,37.6024
601,Bal2Constraint,146,37.6024
602,Bal2Constraint,147,37.6024
603,Bal2Constraint,148,37.6024
604,Bal2Constraint,149,37.6024
605,Bal2Constraint,150,37.6024
606,Bal2Constraint,151,37.6024
607,Bal2Constraint,152,37.6024
608,Bal2Constraint,153,36.7972
609,Bal2Constraint,154,9.97
610,Bal2Constraint,155,0.01
611,Bal2Constraint,156,0.01
612,Bal2Constraint,157,0.01
613,Bal2Constraint,158,9.97
614,Bal2Constraint,159,9.97
615,Bal2Constraint,160,37.6024
616,Bal2Constraint,161,37.6024
617,Bal2Constraint,162,37.6024
618,Bal2Constraint,163,37.6024
619,Bal2Constraint,164,37.6024
