,SHA_otf,ORO_otf,YRS_otf,FOL_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,ISB_otf,SUC_otf,KWH_otf,PFT_otf
10,79054.10846852577,32954.82525529699,4310.577116654598,33933.09377564561,8005.479338584888,4546.465674756305,12508.561466538888,5465.161829735398,3325.6658718508884,1006.4174415024873,2965.9535679437204,7082.16360164937
11,79054.10846852577,29002.84829134157,4128.031430155741,30790.972523461627,8005.479338584888,3951.1499086617355,12508.561466538888,5200.096873310638,3014.9133888483843,1025.3403995607468,2765.887346243967,7199.749174604261
12,79054.10846852577,25755.275918066396,3981.9948809566517,28031.838850966047,8005.479338584888,3472.123463277374,12508.561466538888,5027.089575791861,2711.4007231371647,950.8673658881644,2515.586437358321,6139.59561538663
13,75408.30710775922,23896.352731007537,3865.1656415973844,25433.886103684486,8005.479338584888,3136.4132317235394,12508.561466538888,4976.955101006159,2547.087820172837,951.7861697317805,2415.307060026649,7926.641807416221
14,64888.16566963825,21447.526913185226,3771.7022501099614,23347.98276546325,8005.479338584888,2839.0974941838913,12508.561466538888,4774.0319768075515,2348.54918426877,919.0817960600987,2272.096859436153,6661.706098356169
15,56019.96852010457,16150.198538370076,3696.9315369200276,21470.764933459704,8005.479338584888,2589.3711094605505,12508.561466538888,4651.2911650668,2182.057582796367,867.9732378205805,2125.6673797737217,6392.887987702071
16,49676.08218445991,11939.982259251183,3637.114966368083,19648.455921214787,8005.479338584888,2391.327051503483,12508.561466538888,4840.414271616318,2039.446484060037,819.2427883578679,1997.5829376576762,6344.377854527588
17,44313.44715037641,8598.858756926807,12758.318864300647,18218.109678731234,8005.479338584888,2234.957497518425,12508.561466538888,4896.25084953714,1910.4119175619605,773.4603573973743,1882.4555849634462,5594.7313712810765
18,40145.37158106139,7952.437018626017,20055.28198264669,17519.493364601058,8005.479338584888,2260.4931300755807,12508.561466538888,5195.501779384939,1847.5038383657215,762.8076591354854,1856.4659864819994,7622.191704957606
19,39009.07413108198,10251.87069147442,43394.51859861767,17641.063669583196,8005.479338584888,2413.1259484793204,12508.561466538888,5585.776126132803,1768.0923678016213,750.4504655027378,1798.6317813708204,7231.817967228332
20,38819.55874814765,26537.648245982513,49243.134456030966,26179.75294823096,8005.479338584888,2853.0512532983366,12508.561466538888,5914.111196719726,1786.6407359339364,754.4428314235894,1814.145439031299,9945.092340108065
