,0
328,101734.48378576855
329,1211130.3046215891
330,1024700.3445863306
331,223979.78032911182
332,1372306.7287850343
333,1385289.1383725365
334,1452716.5635120159
335,1191048.784971828
336,94824.0
337,94824.0
338,94824.0
339,94824.0
340,94824.0
341,94824.0
342,1791442.0527600388
343,1149002.2439178978
344,1354011.7529687423
345,1368697.859773323
346,102021.41120295247
347,94824.0
348,94824.0
349,94824.0
350,643515.0977334473
351,326243.8938947121
352,1540448.715035369
353,3040370.908847003
354,1959154.9644852832
355,1310987.3457466017
356,1439949.7041836507
357,94824.0
358,94824.0
359,94824.0
360,94824.0
361,94824.0
362,94824.0
363,94824.0
