,0
132,431313.8245268424
133,394398.4154265478
134,277385.84504062874
135,317626.58721708145
136,137207.08901083845
137,271677.92849974305
138,245245.129188939
139,303334.2724422073
140,170967.42889677273
141,451605.8590608725
142,65094.558137040935
143,199021.15433289894
144,99384.01891780552
145,303416.92064418935
146,198315.21820184594
147,36750.41565882988
148,147919.41569167364
149,126887.23092641118
150,79151.7533107924
151,143796.08263320505
152,55638.82487359159
153,180971.77144723863
154,131647.83321754998
155,320852.8749088106
156,266626.5808725569
157,324057.3516520639
158,176040.40131160343
159,209860.02292609273
160,370887.05788117583
161,367783.02743267623
162,254252.43097746442
163,243500.4152741054
164,104956.69212418672
165,107952.63732395977
166,293348.0697629215
167,236132.30159944927
168,545034.6527050878
169,556112.1652298415
170,425008.120080934
171,214802.70898246986
172,300998.66810534446
173,281071.60696024005
174,247113.3785396141
175,249527.16712803688
176,172698.15188500247
177,200904.2365080932
178,45295.143080128226
179,398531.08049745084
180,118423.29217050735
181,230091.96159794676
182,309302.49019206176
183,168702.7751375339
184,68336.06912780402
185,131765.48143982116
186,299406.5873168092
187,155385.0727801319
188,125786.77012129566
189,157930.4572863946
190,313570.006145849
191,137808.45577788656
192,127757.06947251924
193,67866.2674714554
194,59927.5833029286
195,0.0
196,0.0
197,139151.14643547725
198,76771.86848311723
199,24915.415821273764
200,272917.11297700275
201,0.0
202,152324.4624191149
203,298854.1769634093
204,16954.093213349282
205,0.0
206,121194.6977709506
207,190602.0726455224
208,258083.417047396
209,81113.82481023677
210,93413.88125008694
211,0.0
212,81409.89033116814
213,41733.91633689938
214,15502.98233347757
215,0.0
216,529.3395424764494
217,71463.73967119568
218,3993.4164862907273
219,0.0
220,-3.637978807091713e-12
221,348264.2657143588
222,223487.38973624047
223,74099.87254406439
224,150436.76314716763
225,4788.631953608216
226,0.0
227,9632.776139095533
228,998.830583060555
229,8.326672684688674e-17
230,8.326672684688674e-17
231,8.326672684688674e-17
232,9295.890596526222
233,0.0
234,8.326672684688674e-17
235,8.326672684688674e-17
236,9993.148557343726
237,44287.34703013355
238,8451.646232876608
239,2321.3374079756177
240,61578.69654334814
241,149772.2740258896
242,145124.61298065408
243,0.0
244,22085.004498408787
245,1504.8318659534052
246,0.0
247,9526.402787036313
248,5342.3945217045675
249,8141.64246800722
250,78869.54906892098
251,122398.26056836895
252,0.0
253,3912.5656653107944
254,0.0
255,0.0
256,1656.9513746475568
257,126343.11004793324
258,0.0
259,0.0
260,12124.346132017527
261,25696.895422195917
262,0.0
263,12044.060796511956
264,0.0
265,0.0
266,0.0
267,6965.697200868743
268,0.0
269,45740.87558230698
270,37570.31084792568
271,8.326672684688674e-17
272,8.326672684688674e-17
273,68993.4974580281
274,32682.542583436723
275,282215.87678269565
276,43621.587232881444
277,22242.163781146155
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,29005.607241386595
284,72672.66421518975
285,0.0
286,5.551115123125783e-17
287,51663.09337222213
288,0.0
289,48588.55888066726
290,88126.7931928072
291,120546.39669580608
292,110809.93879404235
293,0.0
294,187323.21341499308
295,216240.12096683285
296,92347.23355049494
297,5.551115123125783e-17
298,0.0
299,0.0
300,0.0
301,0.0
302,30218.42770525319
303,71427.77173896205
304,5.551115123125783e-17
305,0.0
306,284429.822876938
307,327268.07634032454
308,0.0
309,5.551115123125783e-17
310,5.551115123125783e-17
311,0.0
312,3.885780586188048e-16
313,0.0
314,321.90500000000793
315,3384.62657930603
316,70889.80786765857
317,12208.30883141192
318,548.0674199958266
319,-1.942890293094024e-16
320,0.0
321,0.0
322,45582.092308052685
323,105510.93041090618
324,22153.7197551712
325,31967.651074272046
326,150617.80422056676
327,197305.52554967042
328,2493.6845049818003
329,0.0
330,0.0
331,0.0
332,-1.942890293094024e-16
333,-1.942890293094024e-16
334,-1.942890293094024e-16
335,-1.942890293094024e-16
336,1203.3922525414528
337,76065.05464046539
338,0.0
339,345263.3480672143
340,80564.46336912725
341,0.0
342,8.326672684688674e-17
343,0.0
344,8.326672684688674e-17
345,0.0
346,12748.64688469332
347,199119.480643788
348,118403.73192043537
349,53202.47752814272
350,0.0
351,0.0
352,0.0
353,1.1102230246251565e-16
354,1.1102230246251565e-16
355,1.1102230246251565e-16
356,0.0
357,5866.098849497932
358,33324.18309063872
359,0.0
360,134063.2727463483
361,105175.73146938178
362,250978.04058429183
363,164195.02620267367
364,0.0
