,index,PNW
126,491,171044.3687095867
127,492,214558.95712411538
128,493,281931.5839474389
129,494,246035.72496520466
130,495,256662.80357470742
131,496,180919.86122954698
132,497,145391.57844103
133,498,113441.43306897851
134,499,102531.71487890024
135,500,98528.36584170001
136,501,88850.87500710129
137,502,85430.93719001519
138,503,79889.17567334224
139,504,77633.96976277241
140,505,77495.48699888075
141,506,85996.74227121813
142,507,89908.42938748162
143,508,96336.87289017509
144,509,106775.24121903727
145,510,130413.62856388534
146,511,225288.60489803305
147,512,351295.8618290152
148,513,382433.7516643531
149,514,371749.99578742584
150,515,376630.11113055516
151,516,392857.40141306067
152,517,395864.266396816
153,518,388848.52697216073
154,519,418739.71495334606
155,520,430234.2468769536
156,521,444670.58074951265
157,522,434229.5817117569
158,523,437277.75727592735
159,524,418766.80841889005
160,525,419802.0175190688
161,526,403948.48165005946
162,527,417144.947297112
163,528,422952.0694682695
164,529,445773.9015131118
165,530,444995.4702154081
166,531,443992.14029866585
167,532,445557.9400401999
168,533,447649.41118598124
169,534,449600.1198624263
170,535,428119.6761344164
171,536,448965.5250071236
172,537,438560.6295376392
173,538,458958.8981352706
174,539,451274.70337360055
175,540,462409.63494851266
176,541,460699.9604452246
177,542,469493.03270297195
178,543,472636.8339563718
179,544,473259.88060040044
180,545,473709.1049748546
181,546,468104.47396518046
182,547,449883.24088136165
183,548,423239.89804059966
184,549,367859.51716114994
185,550,384848.1233789888
186,551,381267.91404193465
187,552,379915.7480894776
188,553,352246.58781092666
189,554,360684.7208431937
190,555,367932.20640478435
191,556,364443.33477107354
192,557,355217.7075568339
193,558,351604.68448608025
194,559,328728.9567591424
195,560,322883.73077862983
196,561,334312.713311231
197,562,336982.617643838
198,563,310899.8259226076
199,564,317686.11062129517
200,565,325488.42773458746
201,566,319738.3290036742
202,567,302461.0927709951
203,568,279235.2755846694
204,569,278244.73590362223
205,570,277612.1940031975
206,571,285699.9689626634
207,572,254530.99937662555
208,573,241139.74199484085
209,574,256640.8762708165
210,575,258639.55147028482
211,576,258361.34721798485
212,577,226662.57404707497
213,578,198156.34247296682
214,579,196427.0173399022
215,580,199007.55882320195
216,581,190160.47988512932
217,582,169001.36104673042
218,583,182135.33323395174
219,584,167738.65604704234
220,585,141662.0240886138
221,586,127989.68036321572
222,587,161363.61393756434
223,588,144553.44724503247
224,589,160593.0607945257
225,590,118946.93142042543
226,591,122492.89974465103
227,592,141787.57507114764
228,593,139312.85450376716
229,594,138550.38776855232
230,595,139463.98530058196
231,596,140247.80939146678
232,597,143977.89337725908
233,598,144600.59919910197
234,599,147116.40559360263
235,600,141609.1250856524
236,601,135842.8977477125
237,602,133199.31275446608
238,603,177118.19423957975
239,604,195174.9704243363
240,605,188283.501000918
241,606,190713.34874661866
242,607,248894.4265075062
243,608,165494.2880878742
244,609,132051.8968904909
245,610,98036.19280640049
246,611,99365.47297626876
247,612,87305.46696586287
248,613,108288.31108336267
249,614,119496.60708484592
250,615,103488.67677187642
251,616,111974.49063115162
252,617,117326.31457549665
253,618,119576.75200776635
254,619,98649.02984121766
255,620,95081.24015024706
256,621,87400.91950608614
257,622,81536.13188305176
258,623,83020.26032528564
259,624,94758.84658653573
260,625,83917.74996927308
261,626,85215.61565437265
262,627,86048.49216725289
263,628,95419.28473564575
264,629,93223.62550835194
265,630,92729.65355253394
266,631,89575.62242808178
267,632,85669.13589035821
268,633,87119.03212596767
269,634,99651.38781819062
270,635,92446.57922276529
271,636,84885.24592119455
272,637,73080.6280243648
273,638,92934.07028348574
274,639,115802.097233047
275,640,114984.91163910665
276,641,113336.16355092674
277,642,108305.67909611063
278,643,109491.41870998571
279,644,106694.39043770585
280,645,112501.9045938213
281,646,110799.29214005402
282,647,112774.59999135726
283,648,107807.50587781011
284,649,105383.2849809338
285,650,98577.32698698853
286,651,97421.20268340126
287,652,96221.08346319212
288,653,97253.05128031143
289,654,97746.11191502797
290,655,96156.39391265181
291,656,101620.24435674203
292,657,94271.08973688557
293,658,94591.4931372643
294,659,95362.93557215616
295,660,94978.16888637826
296,661,94567.45521862601
297,662,94101.07255352789
298,663,89156.99205100739
299,664,83936.78905228028
300,665,83378.59918460278
301,666,87003.55125739818
302,667,92208.03076457119
303,668,83595.49281628091
304,669,82146.61821376251
305,670,64373.606176368616
306,671,62670.7739374011
307,672,57026.64448917104
308,673,59872.79287003384
309,674,62781.54521050889
310,675,64015.86972658025
311,676,65594.13936838624
312,677,58386.71243185898
313,678,60013.96741478311
314,679,58828.26066236997
315,680,53307.38299660335
316,681,47903.429512997245
317,682,56091.465966354066
318,683,48733.10347908044
319,684,39339.68568612996
320,685,39284.809365868365
321,686,42503.60467656853
322,687,50783.217895251815
323,688,44990.51125848867
324,689,59060.22502196845
325,690,71608.368085869
326,691,62744.1829843412
327,692,75074.03001489156
328,693,60344.060619237425
329,694,60135.424738362126
330,695,53147.49988471178
331,696,45064.86703536434
332,697,35310.48087748463
333,698,30582.308806128363
334,699,21840.171437157318
335,700,41387.83341265493
336,701,43089.24978585387
337,702,42895.100240602595
338,703,42194.31559785249
339,704,40011.32764070033
340,705,38506.53071373506
341,706,45364.252971035894
342,707,51323.64974334813
343,708,58507.964110863075
344,709,60606.19023003205
345,710,71267.39904254078
346,711,64918.738619905576
347,712,65591.05325197135
348,713,65769.10069053085
349,714,70173.11782187418
350,715,80627.05794794101
351,716,72308.0842171461
352,717,68948.1437876588
353,718,73005.05160448671
354,719,85798.2689170842
355,720,78896.7058709042
356,721,79662.12853138929
357,722,71018.2687869317
358,723,71142.237930584
359,724,73300.47270815991
360,725,78747.03975059438
361,726,80212.7689013902
362,727,70701.57957360201
363,728,67392.79726566901
364,729,71141.80334672
